Flight Date,Carrier,Flight Number,Origin,Origin City,Origin State,Origin WAC,Destination,Destination City,Destination State,Destination WAC,CRS_DEP_TIME,Departure Time,CRS_ARR_TIME,Arrival Time,Cancelled,Diverted,Distance
1/1/2022 12:00:00 AM,DL,2166,ATL,"Atlanta, GA",GA,34,STL,"St. Louis, MO",MO,64,1306,1348,1344,1417,0.00,0.00,484.00
1/1/2022 12:00:00 AM,DL,2166,STL,"St. Louis, MO",MO,64,ATL,"Atlanta, GA",GA,34,1600,1550,1834,1821,0.00,0.00,484.00
1/1/2022 12:00:00 AM,DL,2167,DTW,"Detroit, MI",MI,43,SLC,"Salt Lake City, UT",UT,87,1215,,1424,,1.00,0.00,1481.00
1/1/2022 12:00:00 AM,DL,2172,PHX,"Phoenix, AZ",AZ,81,MSP,"Minneapolis, MN",MN,63,1030,1026,1442,1409,0.00,0.00,1276.00
1/1/2022 12:00:00 AM,DL,2175,ATL,"Atlanta, GA",GA,34,IND,"Indianapolis, IN",IN,42,0923,0917,1050,1031,0.00,0.00,432.00
1/1/2022 12:00:00 AM,DL,2175,IND,"Indianapolis, IN",IN,42,ATL,"Atlanta, GA",GA,34,1200,1208,1328,1336,0.00,0.00,432.00
1/1/2022 12:00:00 AM,DL,2176,SNA,"Santa Ana, CA",CA,91,SEA,"Seattle, WA",WA,93,0715,,1019,,1.00,0.00,978.00
1/1/2022 12:00:00 AM,DL,2177,MSP,"Minneapolis, MN",MN,63,MCO,"Orlando, FL",FL,33,1100,1113,1518,1537,0.00,0.00,1310.00
1/1/2022 12:00:00 AM,DL,2180,ATL,"Atlanta, GA",GA,34,ROC,"Rochester, NY",NY,22,1155,1151,1355,1333,0.00,0.00,749.00
1/1/2022 12:00:00 AM,DL,2181,ATL,"Atlanta, GA",GA,34,EWR,"Newark, NJ",NJ,21,0955,1015,1159,1218,0.00,0.00,746.00
1/1/2022 12:00:00 AM,DL,2183,MSP,"Minneapolis, MN",MN,63,TPA,"Tampa, FL",FL,33,1310,1310,1721,1723,0.00,0.00,1306.00
